Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
keila,Unknown,75,"['jett', 'raze', 'reyna']",283,1.10,252.9,1.15,72%,166.3,0.93,0.12,0.20,0.13,32%,6%,,,262,227,34,56,36
ketarys,SaD Frost,181,"['omen', 'viper', 'brimstone', 'astra', 'killjoy']",212,0.74,145.4,0.66,61%,97.5,0.52,0.29,0.06,0.06,25%,14%,,,111,169,62,12,12
kim,Unknown,247,"['astra', 'breach', 'fade', 'skye', 'viper']",927,0.87,172.6,0.79,71%,112.1,0.58,0.36,0.07,0.10,20%,20%,,,540,686,334,65,97
kiri,Asmodeus Colosseum GC,105,"['sova', 'brimstone', 'astra', 'cypher', 'chamber']",664,0.88,173.8,0.78,67%,116.5,0.58,0.31,0.06,0.07,22%,15%,,,383,490,209,40,45
kitkatwc,invincible gc,135,"['killjoy', 'skye', 'kayo', 'breach', 'cypher']",719,0.96,192.4,0.95,70%,130.4,0.69,0.29,0.08,0.09,21%,14%,,,493,520,205,58,67
klaudia,Unknown,273,"['breach', 'sova', 'kayo', 'reyna', 'skye']",590,0.99,201.0,0.93,73%,133.0,0.69,0.42,0.06,0.08,24%,10%,,,409,438,248,34,45
kleisy,İstanbul Wildcats Female,103,"['jett', 'raze', 'reyna']",343,0.78,198.5,0.79,62%,137.3,0.67,0.16,0.18,0.26,27%,10%,,,230,290,56,62,88
kohaibi,BOBA,209,"['raze', 'killjoy', 'reyna', 'chamber', 'skye']",1262,1.25,230.0,1.46,83%,155.7,0.85,0.27,0.11,0.08,25%,21%,,,1070,731,337,143,101
kohal,Unknown,59,"['kayo', 'breach', 'brimstone']",590,0.96,168.3,0.92,76%,109.1,0.60,0.54,0.07,0.06,27%,18%,,,353,383,320,40,36
koneko,Jokers Slay,154,"['skye', 'raze', 'breach', 'jett', 'kayo']",268,0.73,168.8,0.73,66%,113.9,0.58,0.34,0.09,0.19,21%,13%,,,156,214,90,23,52
