Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region_x,Region_y,Region
romia,FENNEL GC,91,"['killjoy', 'cypher', 'sova']",686,1.03,200.4,1.07,69%,132.9,0.73,0.19,0.08,0.07,28%,17%,499,468,129,52,47,2024,False,1.03,0.9,0.19,Pacific,Pacific,Pacific
romily,KRÜ BLAZE,177,"['jett', 'killjoy', 'viper', 'cypher', 'sage']",694,1.12,194.9,1.34,78%,131.3,0.73,0.23,0.06,0.06,31%,19%,509,381,157,44,42,2024,False,1.12,0.98,0.21,GameChangers,GameChangers,GameChangers
rosa,swaglord9000,117,"['jett', 'raze', 'killjoy', 'skye', 'deadlock']",256,0.99,226.5,1.04,70%,143.9,0.79,0.25,0.16,0.13,18%,21%,202,195,64,41,32,2024,False,0.99,0.73,0.17,GameChangers,GameChangers,GameChangers
rosey,invincible gc,146,"['killjoy', 'omen', 'viper', 'brimstone', 'fade']",324,0.97,180.7,0.95,75%,116.9,0.64,0.4,0.09,0.08,22%,16%,208,218,128,29,26,2024,False,0.97,0.75,0.49,GameChangers,GameChangers,GameChangers
roxi,Karmine Corp GC,287,"['killjoy', 'cypher', 'skye', 'viper', 'sage']",531,0.98,193.6,0.94,67%,131.0,0.66,0.23,0.11,0.08,30%,17%,352,374,121,57,41,2024,False,0.98,0.82,0.28,EMEAS,EMEAS,EMEAS
saab,New Combat Line GC,37,"['viper', 'jett', 'killjoy', 'chamber', 'breach']",307,0.82,182.6,0.84,62%,121.3,0.65,0.17,0.1,0.09,26%,9%,199,238,53,31,27,2024,False,0.82,0.63,0.24,GameChangers,GameChangers,GameChangers
safiaa,NASR Ignite,105,"['cypher', 'killjoy', 'omen', 'chamber', 'raze']",1030,1.02,193.7,1.0,70%,133.8,0.7,0.24,0.08,0.07,31%,15%,723,725,251,82,75,2024,False,1.02,0.95,0.25,EMEAS,EMEAS,EMEAS
saikiwi,University War GC,94,"['omen', 'jett', 'viper', 'neon']",653,0.96,204.8,0.98,67%,133.7,0.73,0.3,0.1,0.12,31%,13%,474,484,196,66,81,2024,False,0.96,0.83,0.26,GameChangers,GameChangers,GameChangers
sampphire,Cardboard Dinosaur,110,"['sova', 'breach', 'gekko', 'fade', 'killjoy']",447,0.98,173.9,0.93,69%,123.9,0.64,0.27,0.03,0.06,28%,18%,285,308,121,13,26,2024,False,0.98,0.8,0.34,GameChangers,GameChangers,GameChangers
sandra,Team Falcons Vega,184,"['raze', 'jett', 'cypher', 'fade', 'omen']",1407,0.89,180.8,0.9,67%,120.7,0.65,0.22,0.08,0.09,36%,9%,908,1009,307,117,130,2024,False,0.89,0.86,0.28,GameChangers,GameChangers,GameChangers
sarahcat,Shopify Rebellion,360,"['sova', 'viper', 'kayo', 'breach']",1000,1.07,221.1,1.11,75%,141.6,0.75,0.34,0.12,0.12,25%,21%,753,680,335,123,123,2024,False,1.07,0.99,0.27,Americas,Americas,Americas
sarahcat,Shopify Rebellion,360,"['sova', 'viper', 'kayo', 'breach']",1000,1.07,221.1,1.11,75%,141.6,0.75,0.34,0.12,0.12,25%,21%,753,680,335,123,123,2024,False,1.07,0.99,0.27,Americas,Americas,Americas
sarahcat,Shopify Rebellion,360,"['sova', 'viper', 'kayo', 'breach']",1000,1.07,221.1,1.11,75%,141.6,0.75,0.34,0.12,0.12,25%,21%,753,680,335,123,123,2024,False,1.07,0.99,0.27,Americas,Americas,Americas
sarahcat,Shopify Rebellion,360,"['sova', 'viper', 'kayo', 'breach']",1000,1.07,221.1,1.11,75%,141.6,0.75,0.34,0.12,0.12,25%,21%,753,680,335,123,123,2024,False,1.07,0.99,0.27,Americas,Americas,Americas
sarahcat,Shopify Rebellion,360,"['sova', 'viper', 'kayo', 'breach']",1000,1.07,221.1,1.11,75%,141.6,0.75,0.34,0.12,0.12,25%,21%,753,680,335,123,123,2024,False,1.07,0.99,0.27,Americas,Americas,Americas
sarahcat,Shopify Rebellion,360,"['sova', 'viper', 'kayo', 'breach']",1000,1.07,221.1,1.11,75%,141.6,0.75,0.34,0.12,0.12,25%,21%,753,680,335,123,123,2024,False,1.07,0.99,0.27,Americas,Americas,Americas
